sample,sex
GM19434,female
HG00096,male
HG00171,female
HG00268,female
HG00512,male
HG00513,female
HG00514,female
HG00731,male
HG00732,female
HG00733,female
HG00864,female
HG01114,female
HG01352,female
HG01505,male
HG01573,female
HG01596,male
HG02011,male
HG02018,female
HG02059,female
HG02106,female
HG02492,male
HG02587,female
HG02818,female
HG03009,male
HG03065,male
HG03125,female
HG03371,male
HG03486,female
HG03683,female
HG03732,male
HG04217,female
NA12329,female
NA12878,female
NA18534,male
NA18939,female
NA19036,female
NA19238,female
NA19239,male
NA19240,female
NA19650,male
NA19983,female
NA20509,male
NA20847,female
NA24385,male
