sample	chr	pct_match	flip	sseqsample	sample_chr
HTN7CAFXY_HG02492x02_19s003809-1-1	chr1	95.8787654777306	FALSE	HG02492	HG02492chr1
HTN7CAFXY_HG02492x02_19s003809-1-1	chr10	1.55544405418966	TRUE	HG02492	HG02492chr10
HTN7CAFXY_HG02492x02_19s003809-1-1	chr11	96.5646940822467	FALSE	HG02492	HG02492chr11
HTN7CAFXY_HG02492x02_19s003809-1-1	chr12	1.07185391028186	TRUE	HG02492	HG02492chr12
HTN7CAFXY_HG02492x02_19s003809-1-1	chr13	1.81286549707602	TRUE	HG02492	HG02492chr13
HTN7CAFXY_HG02492x02_19s003809-1-1	chr14	1.60540768905788	TRUE	HG02492	HG02492chr14
HTN7CAFXY_HG02492x02_19s003809-1-1	chr15	3.55097365406644	TRUE	HG02492	HG02492chr15
HTN7CAFXY_HG02492x02_19s003809-1-1	chr16	95.0228542407313	FALSE	HG02492	HG02492chr16
HTN7CAFXY_HG02492x02_19s003809-1-1	chr17	1.63141993957704	TRUE	HG02492	HG02492chr17
HTN7CAFXY_HG02492x02_19s003809-1-1	chr18	1.7175572519084	TRUE	HG02492	HG02492chr18
HTN7CAFXY_HG02492x02_19s003809-1-1	chr19	95.0530035335689	FALSE	HG02492	HG02492chr19
HTN7CAFXY_HG02492x02_19s003809-1-1	chr2	99.2687711788835	FALSE	HG02492	HG02492chr2
HTN7CAFXY_HG02492x02_19s003809-1-1	chr20	97.9253112033195	FALSE	HG02492	HG02492chr20
HTN7CAFXY_HG02492x02_19s003809-1-1	chr21	97.3309608540925	FALSE	HG02492	HG02492chr21
HTN7CAFXY_HG02492x02_19s003809-1-1	chr22	6.06617647058824	TRUE	HG02492	HG02492chr22
HTN7CAFXY_HG02492x02_19s003809-1-1	chr3	97.6976208749041	FALSE	HG02492	HG02492chr3
HTN7CAFXY_HG02492x02_19s003809-1-1	chr4	99.0400374619527	FALSE	HG02492	HG02492chr4
HTN7CAFXY_HG02492x02_19s003809-1-1	chr5	70.3293413173653	blacklisted	HG02492	HG02492chr5
HTN7CAFXY_HG02492x02_19s003809-1-1	chr6	98.5649747541855	FALSE	HG02492	HG02492chr6
HTN7CAFXY_HG02492x02_19s003809-1-1	chr7	98.2896652110626	FALSE	HG02492	HG02492chr7
HTN7CAFXY_HG02492x02_19s003809-1-1	chr8	94.968387776607	FALSE	HG02492	HG02492chr8
HTN7CAFXY_HG02492x02_19s003809-1-1	chr9	98.9042207792208	FALSE	HG02492	HG02492chr9
HTN7CAFXY_HG02492x02_19s003809-1-1	chrX	0	FALSE	HG02492	HG02492chrX
HTN7CAFXY_HG01114x02_19s003809-1-1	chr1	97.5189725627554	FALSE	HG01114	HG01114chr1
HTN7CAFXY_HG01114x02_19s003809-1-1	chr10	0.675967208399252	TRUE	HG01114	HG01114chr10
HTN7CAFXY_HG01114x02_19s003809-1-1	chr11	99.2577545120712	FALSE	HG01114	HG01114chr11
HTN7CAFXY_HG01114x02_19s003809-1-1	chr12	98.8903593606841	FALSE	HG01114	HG01114chr12
HTN7CAFXY_HG01114x02_19s003809-1-1	chr13	97.5903614457831	FALSE	HG01114	HG01114chr13
HTN7CAFXY_HG01114x02_19s003809-1-1	chr14	1.22426265998887	TRUE	HG01114	HG01114chr14
HTN7CAFXY_HG01114x02_19s003809-1-1	chr15	97.5003833767827	FALSE	HG01114	HG01114chr15
HTN7CAFXY_HG01114x02_19s003809-1-1	chr16	97.9209410477363	FALSE	HG01114	HG01114chr16
HTN7CAFXY_HG01114x02_19s003809-1-1	chr17	0.726442507264425	TRUE	HG01114	HG01114chr17
HTN7CAFXY_HG01114x02_19s003809-1-1	chr18	0.784185590589773	TRUE	HG01114	HG01114chr18
HTN7CAFXY_HG01114x02_19s003809-1-1	chr19	98.3460225781045	FALSE	HG01114	HG01114chr19
HTN7CAFXY_HG01114x02_19s003809-1-1	chr2	0.935307872174591	TRUE	HG01114	HG01114chr2
HTN7CAFXY_HG01114x02_19s003809-1-1	chr20	99.0580847723705	FALSE	HG01114	HG01114chr20
HTN7CAFXY_HG01114x02_19s003809-1-1	chr21	98.6928104575163	FALSE	HG01114	HG01114chr21
HTN7CAFXY_HG01114x02_19s003809-1-1	chr22	3.56435643564356	TRUE	HG01114	HG01114chr22
HTN7CAFXY_HG01114x02_19s003809-1-1	chr3	98.5991644138609	FALSE	HG01114	HG01114chr3
HTN7CAFXY_HG01114x02_19s003809-1-1	chr4	98.8101518082176	FALSE	HG01114	HG01114chr4
HTN7CAFXY_HG01114x02_19s003809-1-1	chr5	0.685269786393382	TRUE	HG01114	HG01114chr5
HTN7CAFXY_HG01114x02_19s003809-1-1	chr6	99.2649429363595	FALSE	HG01114	HG01114chr6
HTN7CAFXY_HG01114x02_19s003809-1-1	chr7	98.2781132691366	FALSE	HG01114	HG01114chr7
HTN7CAFXY_HG01114x02_19s003809-1-1	chr8	4.15593336767989	TRUE	HG01114	HG01114chr8
HTN7CAFXY_HG01114x02_19s003809-1-1	chr9	0.788806460700535	TRUE	HG01114	HG01114chr9
HTN7CAFXY_HG01114x02_19s003809-1-1	chrX	0.364836692147325	TRUE	HG01114	HG01114chrX
HWWKWAFXY_HG03009x02_19s004569-1-1	chr1	2.5481627377362	TRUE	HG03009	HG03009chr1
HWWKWAFXY_HG03009x02_19s004569-1-1	chr10	62.8816572621164	blacklisted	HG03009	HG03009chr10
HWWKWAFXY_HG03009x02_19s004569-1-1	chr11	98.4770704996578	FALSE	HG03009	HG03009chr11
HWWKWAFXY_HG03009x02_19s004569-1-1	chr12	99.2858450833181	FALSE	HG03009	HG03009chr12
HWWKWAFXY_HG03009x02_19s004569-1-1	chr13	98.9580232211968	FALSE	HG03009	HG03009chr13
HWWKWAFXY_HG03009x02_19s004569-1-1	chr14	1.89813350205631	TRUE	HG03009	HG03009chr14
HWWKWAFXY_HG03009x02_19s004569-1-1	chr15	0.966251225318583	TRUE	HG03009	HG03009chr15
HWWKWAFXY_HG03009x02_19s004569-1-1	chr16	4.80994152046784	TRUE	HG03009	HG03009chr16
HWWKWAFXY_HG03009x02_19s004569-1-1	chr17	0.640078778926637	TRUE	HG03009	HG03009chr17
HWWKWAFXY_HG03009x02_19s004569-1-1	chr18	0.703717069649946	TRUE	HG03009	HG03009chr18
HWWKWAFXY_HG03009x02_19s004569-1-1	chr19	0.901089689857502	TRUE	HG03009	HG03009chr19
HWWKWAFXY_HG03009x02_19s004569-1-1	chr2	95.7246232490208	FALSE	HG03009	HG03009chr2
HWWKWAFXY_HG03009x02_19s004569-1-1	chr20	1.24444444444444	TRUE	HG03009	HG03009chr20
HWWKWAFXY_HG03009x02_19s004569-1-1	chr21	3.16364682197297	TRUE	HG03009	HG03009chr21
HWWKWAFXY_HG03009x02_19s004569-1-1	chr22	98.8423864648264	FALSE	HG03009	HG03009chr22
HWWKWAFXY_HG03009x02_19s004569-1-1	chr3	98.9078583981923	FALSE	HG03009	HG03009chr3
HWWKWAFXY_HG03009x02_19s004569-1-1	chr4	98.4148397976391	FALSE	HG03009	HG03009chr4
HWWKWAFXY_HG03009x02_19s004569-1-1	chr5	1.35023006713434	TRUE	HG03009	HG03009chr5
HWWKWAFXY_HG03009x02_19s004569-1-1	chr6	0.880878167773411	TRUE	HG03009	HG03009chr6
HWWKWAFXY_HG03009x02_19s004569-1-1	chr7	98.517707192406	FALSE	HG03009	HG03009chr7
HWWKWAFXY_HG03009x02_19s004569-1-1	chr8	4.61005199306759	TRUE	HG03009	HG03009chr8
HWWKWAFXY_HG03009x02_19s004569-1-1	chr9	96.2573934325923	FALSE	HG03009	HG03009chr9
HWWKWAFXY_HG03009x02_19s004569-1-1	chrX	0	FALSE	HG03009	HG03009chrX
HWWKWAFXY_HG03683x01_19s004569-1-1	chr1	98.7843021540277	FALSE	HG03683	HG03683chr1
HWWKWAFXY_HG03683x01_19s004569-1-1	chr10	0.597999793793174	TRUE	HG03683	HG03683chr10
HWWKWAFXY_HG03683x01_19s004569-1-1	chr11	0.640031031807603	TRUE	HG03683	HG03683chr11
HWWKWAFXY_HG03683x01_19s004569-1-1	chr12	99.4395142456796	FALSE	HG03683	HG03683chr12
HWWKWAFXY_HG03683x01_19s004569-1-1	chr13	0.626903098692459	TRUE	HG03683	HG03683chr13
HWWKWAFXY_HG03683x01_19s004569-1-1	chr14	99.523261548578	FALSE	HG03683	HG03683chr14
HWWKWAFXY_HG03683x01_19s004569-1-1	chr15	98.6143546629301	FALSE	HG03683	HG03683chr15
HWWKWAFXY_HG03683x01_19s004569-1-1	chr16	97.2503617945007	FALSE	HG03683	HG03683chr16
HWWKWAFXY_HG03683x01_19s004569-1-1	chr17	0.798811071892997	TRUE	HG03683	HG03683chr17
HWWKWAFXY_HG03683x01_19s004569-1-1	chr18	0.990783410138249	TRUE	HG03683	HG03683chr18
HWWKWAFXY_HG03683x01_19s004569-1-1	chr19	0.652173913043478	TRUE	HG03683	HG03683chr19
HWWKWAFXY_HG03683x01_19s004569-1-1	chr2	99.2817912970004	FALSE	HG03683	HG03683chr2
HWWKWAFXY_HG03683x01_19s004569-1-1	chr20	1.103088648215	TRUE	HG03683	HG03683chr20
HWWKWAFXY_HG03683x01_19s004569-1-1	chr21	99.4514106583072	FALSE	HG03683	HG03683chr21
HWWKWAFXY_HG03683x01_19s004569-1-1	chr22	2.15654952076677	TRUE	HG03683	HG03683chr22
HWWKWAFXY_HG03683x01_19s004569-1-1	chr3	98.804780876494	FALSE	HG03683	HG03683chr3
